CASE_NUMBER,CASE_STATUS,CASE_SUBMITTED,DECISION_DATE,VISA_CLASS,EMPLOYMENT_END_DATE,EMPLOYER_NAME,JOB_TITLE,SOC_NAME,TOTAL_WORKERS,NEW_EMPLOYMENT,CONTINUED_EMPLOYMENT,CHANGE_PREVIOUS_EMPLOYMENT,NEW_CONCURRENT_EMPLOYMENT,CHANGE_EMPLOYER,AMENDED_PETITION,WAGE_RATE_OF_PAY_FROM,PREVAILING_WAGE,FULL_TIME_POSITION,PW_UNIT_OF_PAY,PW_SOURCE_YEAR,H1B_DEPENDENT,EMPLOYER_CITY,WORKSITE_CITY,WORKSITE_COUNTY,EMPLOYER_STATE,WORKSITE_STATE,EMPLOYER_LAT,EMPLOYER_LONG,WORKSITE_LAT,WORKSITE_LONG
1,CERTIFIED-WITHDRAWN,24-02-2016,01-10-2016,H-1B,10-08-2019,DISCOVER PRODUCTS INC.,ASSOCIATE DATA INTEGRATION,COMPUTER SYSTEMS ANALYSTS,1,1,0,0,0,0,0,65811,59197,Y,Year,2015,N,RIVERWOODS,RIVERWOODS,LAKE,IL,IL,42.169325,-87.86556,42.169325,-87.86556
2,CERTIFIED-WITHDRAWN,04-03-2016,01-10-2016,H-1B,16-08-2019,DFS SERVICES LLC,SENIOR ASSOCIATE,OPERATIONS RESEARCH ANALYSTS,1,1,0,0,0,0,0,53000,49800,Y,Year,2015,N,RIVERWOODS,RIVERWOODS,LAKE,IL,IL,42.169325,-87.86556,42.169325,-87.86556
3,CERTIFIED-WITHDRAWN,10-03-2016,01-10-2016,H-1B,09-09-2019,EASTBANC TECHNOLOGIES LLC,.NET SOFTWARE PROGRAMMER,COMPUTER PROGRAMMERS,2,2,0,0,0,0,0,77000,76502,Y,Year,2015,Y,WASHINGTON,WASHINGTON,,DC,DC,38.913961,-77.07179,38.913961,-77.07179
4,WITHDRAWN,28-09-2016,01-10-2016,H-1B,25-01-2020,INFO SERVICES LLC,PROJECT MANAGER,"COMPUTER OCCUPATIONS, ALL OTHER",1,1,0,0,0,0,0,102000,90376,Y,Year,2016,Y,LIVONIA,JERSEY CITY,HUDSON,MI,NJ,42.427835,-83.36299,40.721602,-74.04703
5,CERTIFIED-WITHDRAWN,22-02-2015,02-10-2016,H-1B,01-03-2018,BB&T CORPORATION,ASSOCIATE - ESOTERIC ASSET BACKED SECURITIES,CREDIT ANALYSTS,1,0,0,0,0,1,0,132500,116605,Y,Year,2015,N,WILSON,NEW YORK,NEW YORK,NC,NY,35.715315,-77.91989,40.759511,-73.99019
6,CERTIFIED-WITHDRAWN,12-03-2015,02-10-2016,H-1B,11-09-2018,"SUNTRUST BANKS, INC.",CREDIT RISK METRICS SPECIALIST,"FINANCIAL SPECIALISTS, ALL OTHER",1,1,0,0,0,0,0,71750,59405,Y,Year,2015,N,ATLANTA,ATLANTA,FULTON,GA,GA,33.771755,-84.38065,33.752856,-84.39013
7,CERTIFIED-WITHDRAWN,25-02-2016,02-10-2016,H-1B,24-08-2019,CITADEL INFORMATION SERVICES INC.,BUSINESS SYSTEMS ANALYST,MANAGEMENT ANALYSTS,1,1,0,0,0,0,0,61000,52915,Y,Year,2015,Y,ISELIN,EDISON,MIDDLESEX,NJ,NJ,40.571504,-74.3183,40.529355,-74.33844
8,CERTIFIED-WITHDRAWN,25-02-2016,02-10-2016,H-1B,25-08-2019,CITADEL INFORMATION SERVICES INC.,PROGRAMMER ANALYST,COMPUTER PROGRAMMERS,1,1,0,0,0,0,0,60500,51730,Y,Year,2015,Y,ISELIN,EDISON,MIDDLESEX,NJ,NJ,40.571504,-74.3183,40.529355,-74.33844
9,CERTIFIED-WITHDRAWN,27-02-2016,02-10-2016,H-1B,25-08-2019,CITADEL INFORMATION SERVICES INC.,PROGRAMMER ANALYST,COMPUTER PROGRAMMERS,1,1,0,0,0,0,0,60450,58053,Y,Year,2015,Y,ISELIN,NEW YORK,NEW YORK,NJ,NY,40.571504,-74.3183,40.706019,-74.00858
10,CERTIFIED-WITHDRAWN,28-02-2016,02-10-2016,H-1B,26-08-2019,CITADEL INFORMATION SERVICES INC.,MARKET RESEARCH ANALYST,MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS,1,1,0,0,0,0,0,50000,46821,Y,Year,2015,Y,ISELIN,ISELIN,MIDDLESEX,NJ,NJ,40.571504,-74.3183,40.571504,-74.3183
11,CERTIFIED-WITHDRAWN,29-02-2016,02-10-2016,H-1B,29-08-2019,CITADEL INFORMATION SERVICES INC.,PROGRAMMER ANALYST,COMPUTER PROGRAMMERS,1,1,0,0,0,0,0,60400,58053,Y,Year,2015,Y,ISELIN,NEW YORK,NEW YORK,NJ,NY,40.571504,-74.3183,40.739022,-73.98205
12,CERTIFIED-WITHDRAWN,23-03-2016,02-10-2016,H-1B,20-09-2019,ADVANCED TECHNOLOGY GROUP USA INC,BUSINESS ANALYST,COMPUTER PROGRAMMERS,1,1,0,0,0,0,0,63200,63170,Y,Year,2015,Y,PLAINSBORO,PRINCETON,MERCER,NJ,NJ,40.33371,-74.58512,40.357439,-74.64922
13,CERTIFIED-WITHDRAWN,23-03-2016,02-10-2016,H-1B,20-09-2019,ADVANCED TECHNOLOGY GROUP USA INC,SAP BASIS ADMINISTRATOR,COMPUTER PROGRAMMERS,1,1,0,0,0,0,0,60100,51730,Y,Year,2015,Y,PLAINSBORO,NEW BRUNSWICK,MIDDLESEX,NJ,NJ,40.33371,-74.58512,40.488304,-74.44775
14,CERTIFIED-WITHDRAWN,23-03-2016,02-10-2016,H-1B,20-09-2019,ADVANCED TECHNOLOGY GROUP USA INC,SOFTWARE DEVELOPER,"SOFTWARE DEVELOPERS, APPLICATIONS",1,1,0,0,0,0,0,64000,63877,Y,Year,2015,Y,PLAINSBORO,NEW BRUNSWICK,MIDDLESEX,NJ,NJ,40.33371,-74.58512,40.488304,-74.44775
15,CERTIFIED-WITHDRAWN,23-03-2016,02-10-2016,H-1B,20-09-2019,ADVANCED TECHNOLOGY GROUP USA INC,ORACLE APPLICATION CONSULTANT,COMPUTER PROGRAMMERS,1,1,0,0,0,0,0,60000,51730,Y,Year,2015,Y,PLAINSBORO,NEW BRUNSWICK,MIDDLESEX,NJ,NJ,40.33371,-74.58512,40.488304,-74.44775
16,CERTIFIED-WITHDRAWN,24-03-2016,02-10-2016,H-1B,20-09-2019,ADVANCED TECHNOLOGY GROUP USA INC,SOFTWARE DEVELOPER,"SOFTWARE DEVELOPERS, APPLICATIONS",1,1,0,0,0,0,0,65000,63877,Y,Year,2015,Y,PLAINSBORO,NEW BRUNSWICK,MIDDLESEX,NJ,NJ,40.33371,-74.58512,40.488304,-74.44775
17,WITHDRAWN,02-10-2016,02-10-2016,H-1B,07-10-2019,ITAS INC,COMPUTER SYSTEM ANALYST,COMPUTER SYSTEMS ANALYSTS,1,0,0,0,0,1,0,55000,54600,Y,Year,2016,N,INDIANAPOLIS,MELVILLE,SUFFOLK,IN,NY,39.902039,-86.12948,40.791593,-73.40543
18,CERTIFIED-WITHDRAWN,17-09-2013,03-10-2016,H-1B,01-12-2016,BATTELLE,POST DOCTORATE RESEARCH ASSOCIATE,"BIOLOGICAL SCIENTISTS, ALL OTHER",1,1,0,0,0,0,0,60000,39853,Y,Year,2013,N,RICHLAND,RICHLAND,BENTON,WA,WA,46.35,-119.32,46.35,-119.32
19,CERTIFIED-WITHDRAWN,18-09-2013,03-10-2016,H-1B,13-10-2016,HARMONY SCIENCE ACADEMY-HOUSTON HIGH,SCIENCE TEACHER,"SECONDARY SCHOOL TEACHERS, EXCEPT SPECIAL AND",1,0,1,0,0,0,0,43110,43110,Y,Year,2013,N,HOUSTON,HOUSTON,HARRIS,TX,TX,29.668489,-95.5869,29.668489,-95.5869
